station_id,depth_band,start_year,end_year,months,AMMONIA_mg_L_sen_slope_per_year,AMMONIA_mg_L_kendall_sig
4ACOA000.60,0-1 m,1994,2024,177,-0.0007238721531137779,sig
4ACOA000.60,>1 m,1994,2016,126,-0.00029104644398593926,sig
4AROA195.60,0-1 m,2021,2024,26,-0.006670353716305577,ns
4AROA192.94,0-1 m,1994,2024,186,-0.0009226491405460066,sig
4AROA192.94,>1 m,1994,1995,3,0.2706711418243177,sig
4AGIL002.39,0-1 m,1994,2024,178,-0.0004614045693152185,sig
4AGIL002.39,>1 m,1994,2016,114,0.0017277006546044815,sig
4AROA167.34,0-1 m,1994,2024,181,0.0,sig
4AROA167.34,>1 m,1994,2016,132,-0.0003363746918100341,sig
4ABWR017.42,0-1 m,1994,2024,175,0.0,sig
4ABWR017.42,>1 m,1994,2003,12,0.00656770130454341,sig
4AROA183.64,0-1 m,1994,2024,186,-0.000936339138372235,sig
4AROA183.64,>1 m,1994,2016,133,-0.002346801346036841,sig
4AROA180.21,0-1 m,1994,2024,186,-0.0008002052769339542,sig
4AROA180.21,>1 m,1994,2016,132,0.0026389663292116557,sig
4ABWR045.80,0-1 m,1994,2007,80,-0.00024424179435060685,sig
4ABWR010.55,0-1 m,1994,2024,177,-0.00011585462624980162,sig
4ABWR010.55,>1 m,1994,2016,124,0.003391257633608788,sig
4AGIL008.30,0-1 m,1994,2024,48,-0.0012114171921672747,sig
4ACCK001.80,0-1 m,1994,2024,180,-0.00027246907935198745,sig
4ACCK001.80,>1 m,1994,2016,130,0.0,sig
4ABWR002.50,0-1 m,1994,2024,178,-0.00038841506070021084,sig
4ABWR002.50,>1 m,1994,2016,125,-0.0008628941388337091,sig
4AROA199.20,0-1 m,2005,2022,16,-0.010295595054095824,sig
4AROA175.63,0-1 m,1994,2024,186,-0.0005475136909221146,sig
4AROA175.63,>1 m,1994,2016,131,0.0008097330539241382,ns
4AWTH000.40,0-1 m,1994,2024,182,-0.0005763013819391356,sig
4AWTH000.40,>1 m,1994,2016,130,0.0,sig
4ABSA000.62,0-1 m,1994,2024,177,-0.0005813300098683842,sig
4ABSA000.62,>1 m,1994,2016,125,-0.00025031433101473327,sig
4AROA163.76,0-1 m,1994,2024,182,-5.04983911094699e-05,sig
4AROA163.76,>1 m,1994,2016,132,-0.00011542655998623211,sig
4AROA185.54,0-1 m,2021,2024,26,0.0,ns
4AROA158.22,0-1 m,1994,2024,182,-0.0005515445986798975,sig
4AROA158.22,>1 m,1994,2016,131,0.0,sig
