station_id,depth_band,start_year,end_year,months,CHLORIDE_mg_L_sen_slope_per_year,CHLORIDE_mg_L_kendall_sig
4ACOA000.60,0-1 m,1994,2001,26,0.34193623372793974,sig
4ACOA000.60,>1 m,1994,2001,26,0.23405102617569093,sig
4AROA192.94,0-1 m,1994,2001,31,0.7754952285512094,sig
4AROA192.94,>1 m,1994,1995,3,0.08029944399852858,ns
4AGIL002.39,0-1 m,1994,2001,26,0.40453450058120566,sig
4AGIL002.39,>1 m,1994,2001,16,0.34502084859441984,sig
4AROA167.34,0-1 m,1994,2001,30,0.27653106590851445,sig
4AROA167.34,>1 m,1994,2001,30,0.2217752327178018,sig
4ABWR017.42,0-1 m,1994,2001,23,0.20165745856353598,sig
4ABWR017.42,>1 m,1994,2001,3,0.4433198380566802,sig
4AROA183.64,0-1 m,1994,2001,29,0.542765601594225,sig
4AROA183.64,>1 m,1994,2001,30,0.7939275171959008,sig
4AROA180.21,0-1 m,1994,2001,30,0.5705994491790195,sig
4AROA180.21,>1 m,1994,2001,30,0.9774376444902926,sig
4ABWR045.80,0-1 m,1997,2024,65,-0.04772763514591102,sig
4ABWR010.55,0-1 m,1994,2001,26,0.3932063656072812,sig
4ABWR010.55,>1 m,1994,2001,25,-0.006053476476200292,ns
4AGIL008.30,0-1 m,1999,2024,2,-0.028765678765678766,sig
4ACCK001.80,0-1 m,1994,2001,28,0.1456429096214692,sig
4ACCK001.80,>1 m,1994,2001,29,0.07080856232902212,ns
4ABWR002.50,0-1 m,1994,2001,26,0.42962805781716656,sig
4ABWR002.50,>1 m,1994,2001,25,0.07276330955949693,ns
4AROA199.20,0-1 m,2018,2021,2,-1.9631474103585664,sig
4AROA175.63,0-1 m,1994,2001,30,0.3283554583994093,sig
4AROA175.63,>1 m,1994,2001,31,0.522071993107443,sig
4AWTH000.40,0-1 m,1994,2001,29,0.15735783906928927,sig
4AWTH000.40,>1 m,1994,2001,29,0.11961846659965178,ns
4ABSA000.62,0-1 m,1994,2001,26,0.34809059160969663,sig
4ABSA000.62,>1 m,1994,2001,26,0.2726596334135106,sig
4AROA163.76,0-1 m,1994,2001,30,0.10428692023270436,ns
4AROA163.76,>1 m,1994,2001,30,0.199673159410071,sig
4AROA158.22,0-1 m,1994,2001,29,0.18666990840641193,sig
4AROA158.22,>1 m,1994,2001,29,0.18824012205702584,sig
