station_id,depth_band,start_year,end_year,months,ECOLI_sen_slope_per_year,ECOLI_kendall_sig
4ACOA000.60,0-1 m,2002,2024,142,0.0,sig
4AROA195.60,0-1 m,2021,2024,27,-43.641304347826086,ns
4AROA192.94,0-1 m,2002,2024,152,0.0,ns
4AGIL002.39,0-1 m,2002,2024,143,-0.4618181074136569,sig
4AROA167.34,0-1 m,2002,2024,144,-0.7590461666435603,sig
4ABWR017.42,0-1 m,2002,2024,141,0.0,sig
4AROA183.64,0-1 m,2002,2024,150,0.0,sig
4AROA180.21,0-1 m,2002,2024,152,-0.45360693964730403,sig
4ABWR045.80,0-1 m,2000,2024,150,7.215362815086272,sig
4ABWR010.55,0-1 m,2002,2024,142,-0.11850765873221664,sig
4AGIL008.30,0-1 m,2000,2024,42,-0.3748202916409934,sig
4ACCK001.80,0-1 m,2002,2024,143,-0.7526807808633489,sig
4ABWR002.50,0-1 m,2002,2024,142,-0.19050449705999775,sig
4AROA199.20,0-1 m,2005,2024,87,3.8088000838140266,sig
4AROA175.63,0-1 m,2002,2024,152,-0.5250634477467475,sig
4AWTH000.40,0-1 m,2002,2024,144,-0.5414218737841415,sig
4ABSA000.62,0-1 m,2002,2024,143,-0.16379452752948914,sig
4AROA163.76,0-1 m,2002,2024,144,-0.41992529548168045,sig
4AROA185.54,0-1 m,2021,2024,27,0.0,sig
4AROA158.22,0-1 m,2002,2024,143,-0.7601742503344107,sig
