station_id,depth_band,start_year,end_year,months,FDT_FIELD_PH_sen_slope_per_year,FDT_FIELD_PH_kendall_sig
4ACOA000.60,0-1 m,1994,2024,176,-0.008881719995098314,sig
4ACOA000.60,>1 m,1994,2022,161,-0.026343689716519715,sig
4AROA195.60,0-1 m,2021,2024,27,0.005550443609313834,ns
4AROA195.60,>1 m,2021,2022,13,-0.08608490566037712,sig
4AROA192.94,0-1 m,1994,2024,185,-0.011040575422387252,sig
4AROA192.94,>1 m,1994,2022,69,0.002250276303388582,sig
4AGIL002.39,0-1 m,1994,2024,176,-0.00447890793214868,ns
4AGIL002.39,>1 m,1994,2022,149,-0.033760705475958656,sig
4AROA167.34,0-1 m,1994,2024,175,-0.01124933664211994,sig
4AROA167.34,>1 m,1994,2022,161,-0.024501865097415216,sig
4ABWR017.42,0-1 m,1994,2024,173,-0.010674350593497384,sig
4ABWR017.42,>1 m,1994,2022,75,-0.03650266781188358,sig
4AROA183.64,0-1 m,1994,2024,185,-0.0026119255002726126,ns
4AROA183.64,>1 m,1994,2022,169,-0.0187916613195831,sig
4AROA180.21,0-1 m,1994,2024,185,-0.0029608888216781652,ns
4AROA180.21,>1 m,1994,2022,165,-0.022450903345697392,sig
4ABWR045.80,0-1 m,1994,2024,198,-0.007854298367798844,sig
4ABWR045.80,>1 m,2000,2000,1,,ns
4ABWR010.55,0-1 m,1994,2024,173,0.0008046737213403708,ns
4ABWR010.55,>1 m,1994,2022,158,-0.029858723531924425,sig
4AGIL008.30,0-1 m,1994,2024,68,-0.005013426981615,sig
4ACCK001.80,0-1 m,1994,2024,174,-0.005214950811727275,sig
4ACCK001.80,>1 m,1994,2022,160,-0.022752201030618986,sig
4ABWR002.50,0-1 m,1994,2024,175,-0.00471645288285109,sig
4ABWR002.50,>1 m,1994,2022,159,-0.020297092649476794,sig
4AROA199.20,0-1 m,2005,2024,90,0.014998725502452324,sig
4AROA175.63,0-1 m,1994,2024,183,-0.003121191891313238,ns
4AROA175.63,>1 m,1994,2022,168,-0.02404806681529622,sig
4AWTH000.40,0-1 m,1994,2024,176,-0.0038610249621531404,ns
4AWTH000.40,>1 m,1994,2022,162,-0.02222589466674916,sig
4ABSA000.62,0-1 m,1994,2024,175,-0.0036660205805749526,ns
4ABSA000.62,>1 m,1994,2022,162,-0.026219729324323832,sig
4AROA163.76,0-1 m,1994,2024,176,-0.00029120072544168473,ns
4AROA163.76,>1 m,1994,2022,162,-0.021179926697969628,sig
4AROA185.54,0-1 m,2021,2024,27,0.009972677595628202,ns
4AROA185.54,>1 m,2021,2022,13,-0.10904335634167331,ns
4AROA158.22,0-1 m,1994,2024,175,-0.005599434852119707,sig
4AROA158.22,>1 m,1994,2022,163,-0.02572219369861488,sig
