station_id,depth_band,start_year,end_year,months,FECAL_COLI_sen_slope_per_year,FECAL_COLI_kendall_sig
4ACOA000.60,0-1 m,1994,2012,42,-5.140845070422535,sig
4AROA192.94,0-1 m,1994,2012,42,-6.245722108145106,sig
4AGIL002.39,0-1 m,1994,2012,42,-4.240898528272657,sig
4AROA167.34,0-1 m,1994,2012,43,0.0,sig
4ABWR017.42,0-1 m,1994,2012,40,-5.841869398207426,sig
4AROA183.64,0-1 m,1994,2012,42,-4.609171381909912,sig
4AROA180.21,0-1 m,1994,2012,42,-4.3326271081695955,sig
4ABWR045.80,0-1 m,1994,2024,170,-11.241560300168379,sig
4ABWR010.55,0-1 m,1994,2012,40,0.0,sig
4AGIL008.30,0-1 m,1994,2024,43,2.3981603153744984,sig
4ACCK001.80,0-1 m,1994,2012,42,0.0,sig
4ABWR002.50,0-1 m,1994,2012,43,0.0,sig
4AROA199.20,0-1 m,2009,2024,79,3.8491928126806365,ns
4AROA175.63,0-1 m,1994,2012,42,-4.095010560049507,sig
4AWTH000.40,0-1 m,1994,2012,42,-5.052602436323366,sig
4ABSA000.62,0-1 m,1994,2012,41,0.0,sig
4AROA163.76,0-1 m,1994,2012,43,0.0,sig
4AROA158.22,0-1 m,1994,2012,40,0.0,sig
