station_id,depth_band,start_year,end_year,months,NITROGEN_mg_L_sen_slope_per_year,NITROGEN_mg_L_kendall_sig
4ACOA000.60,0-1 m,1994,2024,176,-0.006848068068798593,sig
4ACOA000.60,>1 m,1994,2016,125,0.0034638223711381867,sig
4AROA195.60,0-1 m,2021,2024,26,0.15564390586367952,sig
4AROA192.94,0-1 m,1994,2024,186,0.0017177121106728129,ns
4AROA192.94,>1 m,1994,1995,3,-1.0776787719534655,sig
4AGIL002.39,0-1 m,1994,2024,177,-0.0034494704474625423,sig
4AGIL002.39,>1 m,1994,2016,113,0.00385041526755219,sig
4AROA167.34,0-1 m,1994,2024,181,-0.003997809419496154,sig
4AROA167.34,>1 m,1994,2016,132,0.0025993470031807596,sig
4ABWR017.42,0-1 m,1994,2024,174,-0.00509938400965263,sig
4ABWR017.42,>1 m,1994,2003,12,0.06403508771929824,sig
4AROA183.64,0-1 m,1994,2024,186,0.00029219114684370047,ns
4AROA183.64,>1 m,1994,2016,133,0.009410548869441102,sig
4AROA180.21,0-1 m,1994,2024,185,-0.0007582911636942742,ns
4AROA180.21,>1 m,1994,2016,132,0.014475427185985743,sig
4ABWR045.80,0-1 m,1994,2024,177,-0.003502923627123936,sig
4ABWR010.55,0-1 m,1994,2024,176,-0.0038060479666319116,sig
4ABWR010.55,>1 m,1994,2016,123,0.007048537662943454,sig
4AGIL008.30,0-1 m,1994,2024,67,-0.008246046416101733,sig
4ACCK001.80,0-1 m,1994,2024,180,-0.004213463648557081,sig
4ACCK001.80,>1 m,1994,2016,130,0.004360812425328558,sig
4ABWR002.50,0-1 m,1994,2024,177,-0.005195397761575261,sig
4ABWR002.50,>1 m,1994,2016,124,0.003729037956116686,sig
4AROA199.20,0-1 m,2005,2024,88,-0.012406401829094051,ns
4AROA175.63,0-1 m,1994,2024,186,-0.002179157097788671,ns
4AROA175.63,>1 m,1994,2016,131,0.013965770952080802,sig
4AWTH000.40,0-1 m,1994,2024,181,-0.003978180338975047,sig
4AWTH000.40,>1 m,1994,2016,130,0.0036742166254579546,sig
4ABSA000.62,0-1 m,1994,2024,176,-0.004448383713543095,sig
4ABSA000.62,>1 m,1994,2016,124,0.0014451153264414779,ns
4AROA163.76,0-1 m,1994,2024,182,-0.0015525669810322116,sig
4AROA163.76,>1 m,1994,2016,132,0.0038433189854362097,sig
4AROA185.54,0-1 m,2021,2024,26,-0.006106484748954395,ns
4AROA158.22,0-1 m,1994,2024,182,-0.004146490957429996,sig
4AROA158.22,>1 m,1994,2016,131,0.000995745651954279,ns
