station_id,depth_band,start_year,end_year,months,PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L_sen_slope_per_year,PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L_kendall_sig
4ACOA000.60,0-1 m,1994,2024,177,0.0,sig
4ACOA000.60,>1 m,1994,2016,126,0.0,sig
4AROA195.60,0-1 m,2021,2024,26,0.0,ns
4AROA192.94,0-1 m,1994,2024,186,-0.00017647439125004764,sig
4AROA192.94,>1 m,1994,1995,3,0.0267415325486428,sig
4AGIL002.39,0-1 m,1994,2024,177,0.0,sig
4AGIL002.39,>1 m,1994,2016,114,0.0,sig
4AROA167.34,0-1 m,1994,2024,181,-1.7326558833740743e-05,sig
4AROA167.34,>1 m,1994,2016,132,0.0,sig
4ABWR017.42,0-1 m,1994,2024,174,0.0,sig
4ABWR017.42,>1 m,1994,2003,12,0.0016419253261358525,sig
4AROA183.64,0-1 m,1994,2024,185,0.0,sig
4AROA183.64,>1 m,1994,2016,133,0.0,sig
4AROA180.21,0-1 m,1994,2024,186,0.0,sig
4AROA180.21,>1 m,1994,2016,131,0.0,sig
4ABWR045.80,0-1 m,1994,2003,53,-0.0002044501001993114,ns
4ABWR010.55,0-1 m,1994,2024,175,0.0,sig
4ABWR010.55,>1 m,1994,2016,124,0.000194636877336553,sig
4AGIL008.30,0-1 m,1994,2024,43,-0.0047963206307490075,sig
4ACCK001.80,0-1 m,1994,2024,180,0.0,sig
4ACCK001.80,>1 m,1994,2016,130,0.0,sig
4ABWR002.50,0-1 m,1994,2024,169,0.0,sig
4ABWR002.50,>1 m,1994,2016,125,0.0,sig
4AROA199.20,0-1 m,2021,2022,7,0.0,sig
4AROA175.63,0-1 m,1994,2024,178,0.0,sig
4AROA175.63,>1 m,1994,2016,131,9.370697691119982e-05,sig
4AWTH000.40,0-1 m,1994,2024,182,0.0,sig
4AWTH000.40,>1 m,1994,2016,130,0.0,sig
4ABSA000.62,0-1 m,1994,2024,177,0.0,sig
4ABSA000.62,>1 m,1994,2016,125,0.0,sig
4AROA163.76,0-1 m,1994,2024,174,0.0,sig
4AROA163.76,>1 m,1994,2016,132,0.0,sig
4AROA185.54,0-1 m,2021,2024,26,0.0,sig
4AROA158.22,0-1 m,1994,2024,182,0.0,sig
4AROA158.22,>1 m,1994,2016,131,0.0,sig
