station_id,depth_band,start_year,end_year,months,SECCHI_DEPTH_M_sen_slope_per_year,SECCHI_DEPTH_M_kendall_sig
4ACOA000.60,0-1 m,1994,2024,165,0.006923806155311282,sig
4ACOA000.60,>1 m,1994,1994,1,,ns
4AROA195.60,0-1 m,2021,2024,26,0.29139238480161667,sig
4AROA192.94,0-1 m,1994,2024,165,0.006588050151954569,sig
4AROA192.94,>1 m,1994,1994,1,,ns
4AGIL002.39,0-1 m,1994,2024,161,-0.011913541081201781,sig
4AGIL002.39,>1 m,1994,1994,1,,ns
4AROA167.34,0-1 m,1996,2024,164,-0.0038228796151925496,ns
4AROA167.34,>1 m,2013,2013,1,,ns
4ABWR017.42,0-1 m,1996,2024,157,0.0003031659212926728,ns
4AROA183.64,0-1 m,1994,2024,164,-0.010471955243150198,sig
4AROA183.64,>1 m,1994,1996,3,-0.1334552102376599,sig
4AROA180.21,0-1 m,1994,2024,165,-0.005878563375744886,sig
4AROA180.21,>1 m,1994,1994,2,2.670731707317073,sig
4ABWR010.55,0-1 m,1994,2024,163,-0.01897541952744299,sig
4ABWR010.55,>1 m,1994,1994,1,,ns
4ACCK001.80,0-1 m,1996,2024,162,0.0,ns
4ABWR002.50,0-1 m,1994,2024,164,0.007608034199560307,sig
4ABWR002.50,>1 m,1994,1994,1,,ns
4AROA175.63,0-1 m,1994,2024,168,-0.00262287404263812,ns
4AROA175.63,>1 m,1994,2002,2,0.1020622160083887,sig
4AWTH000.40,0-1 m,1996,2024,162,0.0051440405840110035,ns
4ABSA000.62,0-1 m,1994,2024,163,0.0066261500937640615,sig
4ABSA000.62,>1 m,1994,1996,2,-0.3813432835820895,sig
4AROA163.76,0-1 m,1996,2024,162,-0.008948271635204714,sig
4AROA185.54,0-1 m,2021,2024,24,-0.07986870897155368,ns
4AROA158.22,0-1 m,1996,2024,163,-0.004282027217268892,ns
