,FDT_FIELD_PH,FDT_TEMP_CELCIUS,DO_mg_L,NITROGEN_mg_L,AMMONIA_mg_L,NOX_mg_L,NITROGEN_KJELDAHL_TOTAL_00625_mg_L,PHOSPHORUS_TOTAL_00665_mg_L,PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L,HARDNESS_TOTAL_00900_mg_L,CHLORIDE_mg_L,SULFATE_mg_L,ECOLI,FECAL_COLI,CHLOROPHYLL_A_ug_L,TSS_mg_L,SECCHI_DEPTH_M,NOx_TKN_Sum
FDT_FIELD_PH,1.0,0.3010824499243479,0.7920208032275913,-0.5573296088686708,-0.40678236637258514,-0.5751351301716827,0.18908925556047257,-0.2837082927688679,-0.12965870520294562,-0.09253467925005857,0.12341730946347257,0.0476786706156942,0.004267078575970922,0.04610206150822643,0.2811078843906767,-0.057122484492389346,-0.2565590157164823,-0.43033589662311467
FDT_TEMP_CELCIUS,0.3010824499243479,1.0,-0.18637944884029198,-0.771967228507243,-0.35854324059091974,-0.8038514118208546,0.22594868126964704,-0.3656354643166961,-0.1011792468834204,-0.029447360201437244,-0.0732287642826652,-0.16543864664585012,-0.053785466139213624,-0.21327344862578393,-0.15045345905094454,-0.32485816281026697,0.22559759580970823,-0.772172426202332
DO_mg_L,0.7920208032275913,-0.18637944884029198,1.0,-0.4322800710123635,-0.4013894310675067,-0.39682523080232734,-0.028608455621459247,-0.22088221268427363,-0.07375927039845952,-0.43724778046811946,0.02319100776815211,0.06515809908100674,0.18929770017512162,0.07285682176265511,0.1267537229249045,-0.18166910548881013,-0.26271635739259747,-0.4112494725794316
NITROGEN_mg_L,-0.5573296088686708,-0.771967228507243,-0.4322800710123635,1.0,0.4005820547706846,0.8861345011870094,0.41535749415908013,0.45845546935704423,0.17964522730035004,-0.16952936739840652,-0.10770086396487356,-0.15161272061602127,0.33429542984307414,0.6355392667408095,0.05944531996782161,0.3205467313608787,-0.25442279394670275,0.7676026843272602
AMMONIA_mg_L,-0.40678236637258514,-0.35854324059091974,-0.4013894310675067,0.4005820547706846,1.0,0.3320654767379673,0.09400733563970126,0.37668647484210754,0.4142950494450148,0.2399257637018593,-0.12046969553705487,-0.18426959020619288,0.8039292051450667,0.043838975597545446,0.04426708330425881,0.3484015155976689,-0.11459101595319122,0.14189687017508942
NOX_mg_L,-0.5751351301716827,-0.8038514118208546,-0.39682523080232734,0.8861345011870094,0.3320654767379673,1.0,-0.19863974474871257,0.3497361888332883,0.19019918829466986,-0.05544956797556885,-0.11977857734466105,-0.057075617617236236,0.35399129745376456,0.45335748306127427,-0.13840146208494503,0.31826985263427965,-0.08996596753961718,1.0
NITROGEN_KJELDAHL_TOTAL_00625_mg_L,0.18908925556047257,0.22594868126964704,-0.028608455621459247,0.41535749415908013,0.09400733563970126,-0.19863974474871257,1.0,0.13915398144797086,-0.11812078321403054,-0.13397657355592457,0.030182120045165916,-0.1274679379394721,,0.4851082205578439,0.567610379810355,0.09365701772762153,0.053218577442775215,-0.19863974474871257
PHOSPHORUS_TOTAL_00665_mg_L,-0.2837082927688679,-0.3656354643166961,-0.22088221268427363,0.45845546935704423,0.37668647484210754,0.3497361888332883,0.13915398144797086,1.0,0.24643851678808937,-0.0058604425873738,-0.10040985037569611,-0.15165294649490055,0.3287707905799999,0.11805555555555555,0.18495763307695326,0.3713767118681799,-0.1813190792322499,0.3098800583623034
PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L,-0.12965870520294562,-0.1011792468834204,-0.07375927039845952,0.17964522730035004,0.4142950494450148,0.19019918829466986,-0.11812078321403054,0.24643851678808937,1.0,-0.41430593000937005,-0.17106140581269316,-0.05809138035190198,0.7679309969921945,-0.3626993274587608,-0.007247445226044568,-0.24078518796467466,-0.004727313941324538,-0.0011432655754673763
HARDNESS_TOTAL_00900_mg_L,-0.09253467925005857,-0.029447360201437244,-0.43724778046811946,-0.16952936739840652,0.2399257637018593,-0.05544956797556885,-0.13397657355592457,-0.0058604425873738,-0.41430593000937005,1.0,0.05369128232286646,0.136504726557987,-0.8280786712108251,-0.31604721917596185,-0.15483556080568953,-0.14150202520122468,-0.12950954504190434,-0.05544956797556885
