,FDT_FIELD_PH,FDT_TEMP_CELCIUS,DO_mg_L,NITROGEN_mg_L,AMMONIA_mg_L,NOX_mg_L,NITROGEN_KJELDAHL_TOTAL_00625_mg_L,PHOSPHORUS_TOTAL_00665_mg_L,PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L,HARDNESS_TOTAL_00900_mg_L,CHLORIDE_mg_L,SULFATE_mg_L,ECOLI,FECAL_COLI,CHLOROPHYLL_A_ug_L,TSS_mg_L,SECCHI_DEPTH_M,NOx_TKN_Sum
FDT_FIELD_PH,1.0,0.30953552354339964,0.7566023155774925,-0.6006181664264078,-0.36562547637665005,-0.6245914435211435,0.003162837676722688,-0.32306664872360963,-0.1536217179655139,-0.05641667246958756,0.30478779632317793,0.25524397725293585,-0.007539597144750467,0.08273118240049117,0.29650091136542395,-0.34954181964756953,-0.22653526736286655,-0.3610053734674496
FDT_TEMP_CELCIUS,0.30953552354339964,1.0,-0.2759835632955021,-0.7874120237013942,-0.29088089551873797,-0.8381724975100358,0.1833026104999968,-0.33663337805981425,-0.09890143865204686,-0.1845502256174583,0.06839717852719136,0.014946626103864914,-0.07027504032467785,-0.21913977622180694,-0.11168441827743648,-0.4384495347609192,0.14209740562431236,-0.786417545727266
DO_mg_L,0.7566023155774925,-0.2759835632955021,1.0,-0.4370391699972198,-0.37443617893210834,-0.37252443173543365,-0.18477151135952147,-0.2862798287358058,-0.07998981115664587,-0.2811617644926086,0.20162971462836787,0.38882456159986056,0.19022885358337768,0.1734180631713858,0.20175121429307624,-0.3693647044984601,-0.1961923100983926,-0.25482738219211054
NITROGEN_mg_L,-0.6006181664264078,-0.7874120237013942,-0.4370391699972198,1.0,0.40020182281193906,0.8922627119408999,0.4118967715647722,0.45797154650771527,0.16173153654990727,0.17847445889324662,-0.19744849603540704,-0.38767297463760725,0.353557293418147,0.5413589699815934,-0.052095962362786914,0.5139068331588426,-0.12425137422894325,0.7131514974004646
AMMONIA_mg_L,-0.36562547637665005,-0.29088089551873797,-0.37443617893210834,0.40020182281193906,1.0,0.26526011212505274,0.329053217730153,0.384643396928671,0.4452853333685979,0.3789239703649975,-0.3129955606783073,-0.49177024207762016,0.825652451352846,0.04047506825942991,-0.0733377559579673,0.6287668149195303,-0.03759308158302068,0.02603239883218041
NOX_mg_L,-0.6245914435211435,-0.8381724975100358,-0.37252443173543365,0.8922627119408999,0.26526011212505274,1.0,-0.3453272881262401,0.32890356997944287,0.17938692715261106,0.022791981631982774,-0.07891541075413133,-0.06909223959747957,0.3508089656071301,0.43595623784772886,-0.19175689096289164,0.2366381216294051,0.04961570044053715,1.0
NITROGEN_KJELDAHL_TOTAL_00625_mg_L,0.003162837676722688,0.1833026104999968,-0.18477151135952147,0.4118967715647722,0.329053217730153,-0.3453272881262401,1.0,0.2546448630905014,0.04426383178953516,0.2643722902141928,-0.09558237352741492,-0.3252135835377744,-0.20498001542269695,0.19868415338453407,-0.1583059941424693,0.27449462617018255,-0.002160533486628409,-0.3888704509882527
PHOSPHORUS_TOTAL_00665_mg_L,-0.32306664872360963,-0.33663337805981425,-0.2862798287358058,0.45797154650771527,0.384643396928671,0.32890356997944287,0.2546448630905014,1.0,0.21870378693085976,-0.08748050495863392,-0.27493226380414537,-0.35595479676146574,0.3396199598817984,0.23551004178906615,0.14593007920473552,0.47607615352411314,-0.2614067099489904,0.01926713461765647
PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L,-0.1536217179655139,-0.09890143865204686,-0.07998981115664587,0.16173153654990727,0.4452853333685979,0.17938692715261106,0.04426383178953516,0.21870378693085976,1.0,-0.36440965012714555,-0.0982517467944305,-0.093572038373098,0.7535829546888172,-0.3677965704156329,-0.17669589658016627,0.014867499904098927,0.08458960878042256,-0.07733311933373906
HARDNESS_TOTAL_00900_mg_L,-0.05641667246958756,-0.1845502256174583,-0.2811617644926086,0.17847445889324662,0.3789239703649975,0.022791981631982774,0.2643722902141928,-0.08748050495863392,-0.36440965012714555,1.0,0.23553719008264462,0.36250768857368504,-0.41403933560541256,-0.16735261650419658,-0.22881147226816667,0.44118963030667735,0.1620918879540165,0.022791981631982774
CHLORIDE_mg_L,0.30478779632317793,0.06839717852719136,0.20162971462836787,-0.19744849603540704,-0.3129955606783073,-0.07891541075413133,-0.09558237352741492,-0.27493226380414537,-0.0982517467944305,0.23553719008264462,1.0,0.7682607911094539,,,-0.2727272727272727,-0.36723278939838144,-0.14673421387009095,-0.07891541075413133
SULFATE_mg_L,0.25524397725293585,0.014946626103864914,0.38882456159986056,-0.38767297463760725,-0.49177024207762016,-0.06909223959747957,-0.3252135835377744,-0.35595479676146574,-0.093572038373098,0.36250768857368504,0.7682607911094539,1.0,,,-0.44377104688644714,-0.34606633257132124,0.15000102881716892,-0.06909223959747957
ECOLI,-0.007539597144750467,-0.07027504032467785,0.19022885358337768,0.353557293418147,0.825652451352846,0.3508089656071301,-0.20498001542269695,0.3396199598817984,0.7535829546888172,-0.41403933560541256,,,1.0,,-0.09381715750021127,0.4661762128615193,-0.01590032680832871,0.8401680504168059
FECAL_COLI,0.08273118240049117,-0.21913977622180694,0.1734180631713858,0.5413589699815934,0.04047506825942991,0.43595623784772886,0.19868415338453407,0.23551004178906615,-0.3677965704156329,-0.16735261650419658,,,,1.0,0.08323901147703647,0.3401386085806994,0.07432279196558425,0.36310667971301863
CHLOROPHYLL_A_ug_L,0.29650091136542395,-0.11168441827743648,0.20175121429307624,-0.052095962362786914,-0.0733377559579673,-0.19175689096289164,-0.1583059941424693,0.14593007920473552,-0.17669589658016627,-0.22881147226816667,-0.2727272727272727,-0.44377104688644714,-0.09381715750021127,0.08323901147703647,1.0,0.280862955914091,-0.679151860233364,0.05203194455477311
