,FDT_FIELD_PH,FDT_TEMP_CELCIUS,DO_mg_L,NITROGEN_mg_L,AMMONIA_mg_L,NOX_mg_L,NITROGEN_KJELDAHL_TOTAL_00625_mg_L,PHOSPHORUS_TOTAL_00665_mg_L,PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L,HARDNESS_TOTAL_00900_mg_L,CHLORIDE_mg_L,SULFATE_mg_L,ECOLI,FECAL_COLI,CHLOROPHYLL_A_ug_L,TSS_mg_L,SECCHI_DEPTH_M,NOx_TKN_Sum
FDT_FIELD_PH,1.0,0.18971157361290464,0.8080094451872755,-0.4067148748325668,-0.2915636545419239,-0.5366179629297668,0.15306811087778757,-0.2537121674979323,-0.18035425203956232,-0.15759538607917298,0.08034676436161371,0.1142159204776082,-0.0030193039713316493,0.19015771765272343,0.33117446512780685,-0.2997088459560155,-0.11403826438769207,-0.37545790941215623
FDT_TEMP_CELCIUS,0.18971157361290464,1.0,-0.3162730024188644,-0.6847845230687284,-0.31588678072557547,-0.8252281952058355,0.2192749389182386,-0.3516551191985882,-0.1269943926548899,0.11131487441899056,-0.14798458348606253,-0.15510155575629284,-0.1523795915314588,-0.262502500988486,-0.28014326332930767,-0.28859258496320106,0.2493302337560755,-0.8093733289285946
DO_mg_L,0.8080094451872755,-0.3162730024188644,1.0,-0.28453793669605476,-0.2898595406802084,-0.2988066419143803,0.026624995766516116,-0.17397905447677306,-0.060670519495045754,0.010458718413256749,0.06520708207919068,0.1633904550862339,0.12675750053031593,0.12543972662218417,0.3248768036067941,-0.40564895637471576,-0.23573447053530064,-0.3164782417882119
NITROGEN_mg_L,-0.4067148748325668,-0.6847845230687284,-0.28453793669605476,1.0,0.3688272573473863,0.8508908730592661,0.5848922343474047,0.4506280750789288,0.23398764177693165,-0.04350009887467882,0.31265910454145673,0.10102039703910431,0.4488598816282819,0.38777509994968634,-0.0009219312507086827,0.3402775041917105,-0.15562776939293202,0.6277202450936744
AMMONIA_mg_L,-0.2915636545419239,-0.31588678072557547,-0.2898595406802084,0.3688272573473863,1.0,0.36487573639355614,0.026701548556395928,0.3724281173830006,0.477128644023444,0.3515325099857314,-0.12000713080497855,-0.24792930788417836,0.8915514706572888,0.2620040943658154,-0.08074943156459902,0.5763322408374397,-0.11935822556124986,0.19116790631474107
NOX_mg_L,-0.5366179629297668,-0.8252281952058355,-0.2988066419143803,0.8508908730592661,0.36487573639355614,1.0,-0.2106725388927575,0.3807713245816823,0.27126113710245986,-0.028972439956451945,0.0562293218854278,0.005842853422434541,0.4497101784574639,0.33310784723129444,-0.037117434897364465,0.29872682113054455,-0.14884722676666004,1.0
NITROGEN_KJELDAHL_TOTAL_00625_mg_L,0.15306811087778757,0.2192749389182386,0.026624995766516116,0.5848922343474047,0.026701548556395928,-0.2106725388927575,1.0,0.11493710935284608,-0.023995411742469972,-0.019840446885264186,0.31423824471581796,0.09140480415607202,0.3227486121839514,0.19155827488718882,0.06995021549112372,0.12514813724571228,0.09571729541530763,-0.2106725388927575
PHOSPHORUS_TOTAL_00665_mg_L,-0.2537121674979323,-0.3516551191985882,-0.17397905447677306,0.4506280750789288,0.3724281173830006,0.3807713245816823,0.11493710935284608,1.0,0.2456591873927314,-0.3212327958697155,-0.33625605667857583,-0.1714850747344407,0.45833242676952485,0.31621012085509015,0.0007357494165532947,0.20230684170726165,-0.1292683056875495,0.04987945440249948
PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L,-0.18035425203956232,-0.1269943926548899,-0.060670519495045754,0.23398764177693165,0.477128644023444,0.27126113710245986,-0.023995411742469972,0.2456591873927314,1.0,-0.2600102258198232,-0.41521397546105787,-0.3349965517496968,0.7985039765622841,-0.6276912040603917,-0.12330031813063218,0.07436450774404528,-0.07282590377524618,-0.04041480991125085
HARDNESS_TOTAL_00900_mg_L,-0.15759538607917298,0.11131487441899056,0.010458718413256749,-0.04350009887467882,0.3515325099857314,-0.028972439956451945,-0.019840446885264186,-0.3212327958697155,-0.2600102258198232,1.0,0.2194204144866425,0.2218878035494327,0.8660254037844386,0.47584723217739416,0.13966911383985398,0.3525311439163042,-0.10017520699322281,-0.028972439956451945
CHLORIDE_mg_L,0.08034676436161371,-0.14798458348606253,0.06520708207919068,0.31265910454145673,-0.12000713080497855,0.0562293218854278,0.31423824471581796,-0.33625605667857583,-0.41521397546105787,0.2194204144866425,1.0,0.7476355835412315,,,0.18431929404004438,-0.13722313124831906,-0.44415063287865497,0.0562293218854278
SULFATE_mg_L,0.1142159204776082,-0.15510155575629284,0.1633904550862339,0.10102039703910431,-0.24792930788417836,0.005842853422434541,0.09140480415607202,-0.1714850747344407,-0.3349965517496968,0.2218878035494327,0.7476355835412315,1.0,,,0.1404964008858967,-0.15498610643281507,-0.146364604066697,0.005842853422434541
ECOLI,-0.0030193039713316493,-0.1523795915314588,0.12675750053031593,0.4488598816282819,0.8915514706572888,0.4497101784574639,0.3227486121839514,0.45833242676952485,0.7985039765622841,0.8660254037844386,,,1.0,,-0.10314451837192165,1.0,-0.1481145013270414,0.8660254037844386
FECAL_COLI,0.19015771765272343,-0.262502500988486,0.12543972662218417,0.38777509994968634,0.2620040943658154,0.33310784723129444,0.19155827488718882,0.31621012085509015,-0.6276912040603917,0.47584723217739416,,,,1.0,0.25569129094302806,0.47333755704209063,-0.14065536618127183,0.30975925242739283
