,FDT_FIELD_PH,FDT_TEMP_CELCIUS,DO_mg_L,NITROGEN_mg_L,AMMONIA_mg_L,NOX_mg_L,NITROGEN_KJELDAHL_TOTAL_00625_mg_L,PHOSPHORUS_TOTAL_00665_mg_L,PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L,HARDNESS_TOTAL_00900_mg_L,CHLORIDE_mg_L,SULFATE_mg_L,ECOLI,FECAL_COLI,CHLOROPHYLL_A_ug_L,TSS_mg_L,SECCHI_DEPTH_M,NOx_TKN_Sum
FDT_FIELD_PH,1.0,0.2934675640072043,0.7750079114539733,-0.44432657266610254,-0.36703222085873927,-0.5478623420925792,0.3237406131048322,-0.25344633297959596,-0.14430290488331057,-0.005251999275140118,0.20025664882477046,0.1372352735575885,0.04542842097636405,0.1909524725703004,0.2539747048554555,-0.059946255458048846,-0.2501750113282699,-0.3427898355485602
FDT_TEMP_CELCIUS,0.2934675640072043,1.0,-0.20542569498503388,-0.6990761946466665,-0.3287937958150236,-0.816479461719135,0.2852001502424043,-0.3566508176977855,-0.1159066377754889,0.059903187987306136,-0.07822093133269879,-0.13016994768251341,-0.09600479019670116,-0.22715721040751735,-0.08613278484983988,-0.29507770769836084,0.23001728466510185,-0.7676816549179645
DO_mg_L,0.7750079114539733,-0.20542569498503388,1.0,-0.39467246734295314,-0.4315098926396872,-0.3810033999918912,0.02687661606019235,-0.18815067988656783,-0.07801561431166,-0.26642449652730366,0.05954483131686743,0.04752129415418959,0.1620189236258814,0.27380109966412214,0.22818484811973314,-0.19595318413589125,-0.24991312236142577,-0.3119347697203656
NITROGEN_mg_L,-0.44432657266610254,-0.6990761946466665,-0.39467246734295314,1.0,0.41600898023453964,0.8588094750509397,0.5626123181052628,0.4657637958404425,0.23022563429455356,-0.21243183466284718,-0.22636237329572367,-0.3161520117302286,0.42424203633449126,0.551442564028385,-0.09355274172915484,0.15897439288934595,-0.1475748877093134,0.5703686288297318
AMMONIA_mg_L,-0.36703222085873927,-0.3287937958150236,-0.4315098926396872,0.41600898023453964,1.0,0.36004442825302374,0.04907562142336891,0.3244713528964589,0.4705718071620772,0.23157475812384182,-0.1257546931195377,-0.13952263384272584,0.847824664113049,0.16155635138270835,-0.00990361424993348,0.3835478697037444,-0.09295620899191093,0.06925208939709522
NOX_mg_L,-0.5478623420925792,-0.816479461719135,-0.3810033999918912,0.8588094750509397,0.36004442825302374,1.0,-0.26896220039289037,0.3907168487570077,0.20779820440077743,-0.19481315316801134,-0.10263465001736294,-0.10325512100322894,0.3962323254030284,0.3893920580170339,-0.2147340868216066,0.15622671332628732,-0.05155832366919606,1.0
NITROGEN_KJELDAHL_TOTAL_00625_mg_L,0.3237406131048322,0.2852001502424043,0.02687661606019235,0.5626123181052628,0.04907562142336891,-0.26896220039289037,1.0,0.2430399573628029,-0.0750255012821316,-0.13010008954702934,-0.08285429098751784,-0.25121199522225507,-0.6123724356957946,0.3859346838178647,0.07333473855204913,0.06532027742524259,0.013610106603915421,-0.26896220039289037
PHOSPHORUS_TOTAL_00665_mg_L,-0.25344633297959596,-0.3566508176977855,-0.18815067988656783,0.4657637958404425,0.3244713528964589,0.3907168487570077,0.2430399573628029,1.0,0.24847345091134596,-0.10919070567288085,-0.16872817090613929,-0.13727937176758412,0.4254315367276736,0.3166198202205897,0.11939932321762442,0.32049409693907394,-0.26844859463565174,0.1722959240332296
PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L,-0.14430290488331057,-0.1159066377754889,-0.07801561431166,0.23022563429455356,0.4705718071620772,0.20779820440077743,-0.0750255012821316,0.24847345091134596,1.0,-0.1412505302262355,-0.1763193340475214,-0.10011070215720969,0.7701886007500006,-0.12288740005972572,-0.0789672216263174,-0.03207734985674651,-0.006337977996888289,0.009619139271381246
HARDNESS_TOTAL_00900_mg_L,-0.005251999275140118,0.059903187987306136,-0.26642449652730366,-0.21243183466284718,0.23157475812384182,-0.19481315316801134,-0.13010008954702934,-0.10919070567288085,-0.1412505302262355,1.0,0.013989667351461513,0.0811789038262668,-0.41403933560541256,-0.21522067940369352,-0.007905138339920948,0.12064268893106103,-0.08120530405939627,-0.19481315316801134
CHLORIDE_mg_L,0.20025664882477046,-0.07822093133269879,0.05954483131686743,-0.22636237329572367,-0.1257546931195377,-0.10263465001736294,-0.08285429098751784,-0.16872817090613929,-0.1763193340475214,0.013989667351461513,1.0,0.8312727027141817,,-0.04007542648337378,-0.25849213105659874,0.1707966264618679,-0.07663993230934488,-0.10263465001736294
SULFATE_mg_L,0.1372352735575885,-0.13016994768251341,0.04752129415418959,-0.3161520117302286,-0.13952263384272584,-0.10325512100322894,-0.25121199522225507,-0.13727937176758412,-0.10011070215720969,0.0811789038262668,0.8312727027141817,1.0,,0.10681283551450138,-0.3658604599914625,0.18808041340720708,0.11138827131948005,-0.10325512100322894
ECOLI,0.04542842097636405,-0.09600479019670116,0.1620189236258814,0.42424203633449126,0.847824664113049,0.3962323254030284,-0.6123724356957946,0.4254315367276736,0.7701886007500006,-0.41403933560541256,,,1.0,,-0.004795225778923157,0.8944271909999159,-0.1117651671510315,0.8401680504168059
FECAL_COLI,0.1909524725703004,-0.22715721040751735,0.27380109966412214,0.551442564028385,0.16155635138270835,0.3893920580170339,0.3859346838178647,0.3166198202205897,-0.12288740005972572,-0.21522067940369352,-0.04007542648337378,0.10681283551450138,,1.0,0.19026059766179762,0.4872663925186264,-0.14047281195376676,0.24567770268038042
CHLOROPHYLL_A_ug_L,0.2539747048554555,-0.08613278484983988,0.22818484811973314,-0.09355274172915484,-0.00990361424993348,-0.2147340868216066,0.07333473855204913,0.11939932321762442,-0.0789672216263174,-0.007905138339920948,-0.25849213105659874,-0.3658604599914625,-0.004795225778923157,0.19026059766179762,1.0,0.2574197097222127,-0.6311992612013748,0.0073571212841110085
TSS_mg_L,-0.059946255458048846,-0.29507770769836084,-0.19595318413589125,0.15897439288934595,0.3835478697037444,0.15622671332628732,0.06532027742524259,0.32049409693907394,-0.03207734985674651,0.12064268893106103,0.1707966264618679,0.18808041340720708,0.8944271909999159,0.4872663925186264,0.2574197097222127,1.0,-0.5785385453065663,0.15622671332628732
SECCHI_DEPTH_M,-0.2501750113282699,0.23001728466510185,-0.24991312236142577,-0.1475748877093134,-0.09295620899191093,-0.05155832366919606,0.013610106603915421,-0.26844859463565174,-0.006337977996888289,-0.08120530405939627,-0.07663993230934488,0.11138827131948005,-0.1117651671510315,-0.14047281195376676,-0.6311992612013748,-0.5785385453065663,1.0,-0.48394675322400726
NOx_TKN_Sum,-0.3427898355485602,-0.7676816549179645,-0.3119347697203656,0.5703686288297318,0.06925208939709522,1.0,-0.26896220039289037,0.1722959240332296,0.009619139271381246,-0.19481315316801134,-0.10263465001736294,-0.10325512100322894,0.8401680504168059,0.24567770268038042,0.0073571212841110085,0.15622671332628732,-0.48394675322400726,1.0
