,FDT_FIELD_PH,FDT_TEMP_CELCIUS,DO_mg_L,NITROGEN_mg_L,AMMONIA_mg_L,NOX_mg_L,NITROGEN_KJELDAHL_TOTAL_00625_mg_L,PHOSPHORUS_TOTAL_00665_mg_L,PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L,HARDNESS_TOTAL_00900_mg_L,CHLORIDE_mg_L,SULFATE_mg_L,ECOLI,FECAL_COLI,CHLOROPHYLL_A_ug_L,TSS_mg_L,SECCHI_DEPTH_M,NOx_TKN_Sum
FDT_FIELD_PH,1.0,0.06537889386907152,0.05548356090831765,-0.11098371355240072,-0.17427733515072313,-0.27461898636201887,-0.11722432720588924,-0.18367922623553856,-0.37406427387745317,-0.357896939969477,1.0,1.0,-0.22065218234809308,-0.33234544771648394,0.04184137043778615,-0.15263918026125972,,-0.23724736305807634
FDT_TEMP_CELCIUS,0.06537889386907152,1.0,-0.7944900721744301,0.3132867715964729,0.2384509371878609,0.15905134505453608,0.2504166842029292,0.5447850836143973,0.4323595852265615,0.02097902097902098,1.0,1.0,0.41364372187729237,0.20053542612352515,-0.3347309635022892,0.14461591250028624,,0.12739243179009455
DO_mg_L,0.05548356090831765,-0.7944900721744301,1.0,-0.5132273805524726,-0.49005301731984263,-0.3353141834477116,-0.4488644430559297,-0.6872945238793856,-0.5871625511121571,-0.25874125874125875,-1.0,-1.0,-0.40655849713494097,-0.354584274929104,0.510464719340991,-0.4611581515370188,,-0.33771131639466884
NITROGEN_mg_L,-0.11098371355240072,0.3132867715964729,-0.5132273805524726,1.0,0.7512487571648826,0.6749160020235853,0.8880851952248174,0.7399180258221657,0.6079061364286799,0.16783216783216784,1.0,1.0,0.4042616632722501,0.643146282995829,0.025104822262671692,0.7675380707491714,,0.6602150313926958
AMMONIA_mg_L,-0.17427733515072313,0.2384509371878609,-0.49005301731984263,0.7512487571648826,1.0,0.4820201812687794,0.707534322654514,0.7634526746503998,0.6672096461107307,0.21317111131258001,1.0,1.0,0.6843370796371928,0.684573774553253,-0.20788767860257112,0.7765480134565188,,0.5119430603995897
NOX_mg_L,-0.27461898636201887,0.15905134505453608,-0.3353141834477116,0.6749160020235853,0.4820201812687794,1.0,0.2806836613759183,0.49663762881320633,0.3692990771883353,0.29824744997456415,-1.0,-1.0,0.3777283604814527,0.42350944684511266,0.20920685218893076,0.5667453535896405,,1.0
NITROGEN_KJELDAHL_TOTAL_00625_mg_L,-0.11722432720588924,0.2504166842029292,-0.4488644430559297,0.8880851952248174,0.707534322654514,0.2806836613759183,1.0,0.738928443039751,0.583154947022271,0.0035919669993427204,1.0,1.0,0.7847119867785968,0.6212093627768092,-0.14691208788426294,0.6172268490444124,,0.2806836613759183
PHOSPHORUS_TOTAL_00665_mg_L,-0.18367922623553856,0.5447850836143973,-0.6872945238793856,0.7399180258221657,0.7634526746503998,0.49663762881320633,0.738928443039751,1.0,0.8345046834502597,0.21988027678061597,1.0,1.0,0.6558868782312248,0.7016345666874612,-0.11392506476501126,0.7949073071557706,,0.4873555329047418
PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L,-0.37406427387745317,0.4323595852265615,-0.5871625511121571,0.6079061364286799,0.6672096461107307,0.3692990771883353,0.583154947022271,0.8345046834502597,1.0,0.5072593331173502,1.0,1.0,0.7032334728680915,0.5970035875843757,-0.41577535720514225,0.5456430365890913,,0.3692990771883353
HARDNESS_TOTAL_00900_mg_L,-0.357896939969477,0.02097902097902098,-0.25874125874125875,0.16783216783216784,0.21317111131258001,0.29824744997456415,0.0035919669993427204,0.21988027678061597,0.5072593331173502,1.0,,,,0.10228792510910056,0.6826469692905577,0.3637062869835413,,0.29824744997456415
CHLORIDE_mg_L,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,,1.0,1.0,,-1.0,,1.0,,-1.0
SULFATE_mg_L,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,,1.0,1.0,,-1.0,,1.0,,-1.0
ECOLI,-0.22065218234809308,0.41364372187729237,-0.40655849713494097,0.4042616632722501,0.6843370796371928,0.3777283604814527,0.7847119867785968,0.6558868782312248,0.7032334728680915,,,,1.0,0.9437824785158916,,0.08823529411764706,,0.42449408933252586
FECAL_COLI,-0.33234544771648394,0.20053542612352515,-0.354584274929104,0.643146282995829,0.684573774553253,0.42350944684511266,0.6212093627768092,0.7016345666874612,0.5970035875843757,0.10228792510910056,-1.0,-1.0,0.9437824785158916,1.0,0.02564477268556428,0.6994849168334302,,0.42350944684511266
CHLOROPHYLL_A_ug_L,0.04184137043778615,-0.3347309635022892,0.510464719340991,0.025104822262671692,-0.20788767860257112,0.20920685218893076,-0.14691208788426294,-0.11392506476501126,-0.41577535720514225,0.6826469692905577,,,,0.02564477268556428,1.0,0.31201140100769875,,0.20920685218893076
TSS_mg_L,-0.15263918026125972,0.14461591250028624,-0.4611581515370188,0.7675380707491714,0.7765480134565188,0.5667453535896405,0.6172268490444124,0.7949073071557706,0.5456430365890913,0.3637062869835413,1.0,1.0,0.08823529411764706,0.6994849168334302,0.31201140100769875,1.0,,0.6054296984073441
SECCHI_DEPTH_M,,,,,,,,,,,,,,,,,,
NOx_TKN_Sum,-0.23724736305807634,0.12739243179009455,-0.33771131639466884,0.6602150313926958,0.5119430603995897,1.0,0.2806836613759183,0.4873555329047418,0.3692990771883353,0.29824744997456415,-1.0,-1.0,0.42449408933252586,0.42350944684511266,0.20920685218893076,0.6054296984073441,,1.0
