,FDT_FIELD_PH,FDT_TEMP_CELCIUS,DO_mg_L,NITROGEN_mg_L,AMMONIA_mg_L,NOX_mg_L,NITROGEN_KJELDAHL_TOTAL_00625_mg_L,PHOSPHORUS_TOTAL_00665_mg_L,PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L,HARDNESS_TOTAL_00900_mg_L,CHLORIDE_mg_L,SULFATE_mg_L,ECOLI,FECAL_COLI,CHLOROPHYLL_A_ug_L,TSS_mg_L,SECCHI_DEPTH_M,NOx_TKN_Sum
FDT_FIELD_PH,1.0,0.5474895409912092,0.82655873324048,-0.6180947584839607,-0.23799500474484922,-0.7540198867535012,,0.17802003821689447,0.26807121274504503,,,,-0.4153454669357857,,0.7400820793433652,,-0.5308648301762167,
FDT_TEMP_CELCIUS,0.5474895409912092,1.0,0.1860327703170827,-0.5064979776369575,0.02118636964790703,-0.6406705136097767,,0.06586221473071902,0.15689290811054724,,,,-0.29432612723346163,,0.5891605488740318,,-0.36105810791045234,
DO_mg_L,0.82655873324048,0.1860327703170827,1.0,-0.307041192408274,-0.3319568649619408,-0.37560137102699753,,0.27207855621787447,0.152542553961938,,,,-0.3333333333333333,,0.43615384615384617,,-0.497026980821985,
NITROGEN_mg_L,-0.6180947584839607,-0.5064979776369575,-0.307041192408274,1.0,0.31554940223148736,0.9295124173675734,,-0.02202894790682718,-0.2092620989790246,,,,0.2067889823036748,,-0.6810330183406561,,0.431924120726903,
AMMONIA_mg_L,-0.23799500474484922,0.02118636964790703,-0.3319568649619408,0.31554940223148736,1.0,0.27124619975786435,,0.02874941894311252,-0.06001650680937103,,,,0.15065518026552377,,-0.3786730083739151,,0.39863391304491996,
NOX_mg_L,-0.7540198867535012,-0.6406705136097767,-0.37560137102699753,0.9295124173675734,0.27124619975786435,1.0,,-0.15827171996065267,-0.2354601419336722,,,,0.17907512026945807,,-0.8351009725795355,,0.5864166721381505,
NITROGEN_KJELDAHL_TOTAL_00625_mg_L,,,,,,,,,,,,,,,,,,
PHOSPHORUS_TOTAL_00665_mg_L,0.17802003821689447,0.06586221473071902,0.27207855621787447,-0.02202894790682718,0.02874941894311252,-0.15827171996065267,,1.0,0.0,,,,0.2132855724951291,,0.2784467794130313,,-0.5467987302828549,
PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L,0.26807121274504503,0.15689290811054724,0.152542553961938,-0.2092620989790246,-0.06001650680937103,-0.2354601419336722,,0.0,1.0,,,,0.0,,0.1830730233380795,,-0.3474193421092554,
HARDNESS_TOTAL_00900_mg_L,,,,,,,,,,,,,,,,,,
CHLORIDE_mg_L,,,,,,,,,,,,,,,,,,
SULFATE_mg_L,,,,,,,,,,,,,,,,,,
ECOLI,-0.4153454669357857,-0.29432612723346163,-0.3333333333333333,0.2067889823036748,0.15065518026552377,0.17907512026945807,,0.2132855724951291,0.0,,,,1.0,,-0.17864400323145718,,0.1669976366727908,
FECAL_COLI,,,,,,,,,,,,,,,,,,
CHLOROPHYLL_A_ug_L,0.7400820793433652,0.5891605488740318,0.43615384615384617,-0.6810330183406561,-0.3786730083739151,-0.8351009725795355,,0.2784467794130313,0.1830730233380795,,,,-0.17864400323145718,,1.0,,-0.7899644277341845,
TSS_mg_L,,,,,,,,,,,,,,,,,,
SECCHI_DEPTH_M,-0.5308648301762167,-0.36105810791045234,-0.497026980821985,0.431924120726903,0.39863391304491996,0.5864166721381505,,-0.5467987302828549,-0.3474193421092554,,,,0.1669976366727908,,-0.7899644277341845,,1.0,
NOx_TKN_Sum,,,,,,,,,,,,,,,,,,
