,FDT_FIELD_PH,FDT_TEMP_CELCIUS,DO_mg_L,NITROGEN_mg_L,AMMONIA_mg_L,NOX_mg_L,NITROGEN_KJELDAHL_TOTAL_00625_mg_L,PHOSPHORUS_TOTAL_00665_mg_L,PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L,HARDNESS_TOTAL_00900_mg_L,CHLORIDE_mg_L,SULFATE_mg_L,ECOLI,FECAL_COLI,CHLOROPHYLL_A_ug_L,TSS_mg_L,SECCHI_DEPTH_M,NOx_TKN_Sum
FDT_FIELD_PH,1.0,0.09678972884568833,0.7585536131748517,-0.3148531253650963,-0.350388827442412,-0.395070671071282,0.0808872943159463,-0.23935857062603366,-0.1878102533197682,-0.07396544704322061,0.16530933258216207,0.24537477842991107,-0.11290328772854558,0.13487838416006118,0.26107002365518234,-0.21328687511874997,-0.07530372028226279,-0.20693624463282276
FDT_TEMP_CELCIUS,0.09678972884568833,1.0,-0.4687745268498849,-0.7258708981645363,-0.2535488010361568,-0.8154439607092431,0.2911451177872458,-0.3508181459397821,-0.11878478704260251,0.10790245872608141,-0.16232893160767267,-0.23699452910762886,-0.20193966881274672,-0.2833529798210361,-0.055051257083795734,-0.346080791877876,0.16269651076412378,-0.7961263126531033
DO_mg_L,0.7585536131748517,-0.4687745268498849,1.0,-0.1130883827295092,-0.28419380088522966,-0.1150063128360873,-0.04413081100777335,-0.06969670671220222,-0.06011617283075685,-0.2839179251381161,0.10205494740163017,0.23786336465798727,0.1460300477212104,0.054043781186731234,0.16131370436522038,-0.18807202752532662,-0.09008458065248265,-0.06335926870915785
NITROGEN_mg_L,-0.3148531253650963,-0.7258708981645363,-0.1130883827295092,1.0,0.24201465554019388,0.862668433295863,0.4437424653079164,0.36583634094320705,0.20494386099900141,-0.20563958278518588,0.16837401943043526,0.08022541684718808,0.46723260129575445,0.1531574587380083,-0.05667289503019517,0.1063977449370075,-0.2060344016818509,0.6704476406325768
AMMONIA_mg_L,-0.350388827442412,-0.2535488010361568,-0.28419380088522966,0.24201465554019388,1.0,0.22042075537886494,0.003912904557683691,0.3187919482397623,0.45710489630613643,0.10808088655788844,-0.4135509150097576,-0.35573131255456086,0.835585645101725,0.20876594798962683,-0.2616316528482982,0.1852983534565899,-0.1185703678698679,-0.07680870506899244
NOX_mg_L,-0.395070671071282,-0.8154439607092431,-0.1150063128360873,0.862668433295863,0.22042075537886494,1.0,-0.3188999266318068,0.3328900023761684,0.2490226438927708,-0.2663658308132216,0.041699941177410195,0.0986069460250658,0.4554439808190506,0.2325826598295426,-0.1965206544241878,0.23748039267025087,-0.0852097287022312,1.0
NITROGEN_KJELDAHL_TOTAL_00625_mg_L,0.0808872943159463,0.2911451177872458,-0.04413081100777335,0.4437424653079164,0.003912904557683691,-0.3188999266318068,1.0,-0.009511923866183375,-0.07143160796286464,-0.043452026337163115,0.2126961737906999,-0.008903277757211874,0.3042903097250923,-0.03822807589756885,0.251924853113831,-0.08097115830775241,-0.012403262333141641,-0.3188999266318068
PHOSPHORUS_TOTAL_00665_mg_L,-0.23935857062603366,-0.3508181459397821,-0.06969670671220222,0.36583634094320705,0.3187919482397623,0.3328900023761684,-0.009511923866183375,1.0,0.18137221611961313,0.03394660173336107,-0.539197354578479,-0.3831967141862131,0.3445700500633066,0.17030501581912624,-0.02941695593311693,0.19957619610458252,-0.2242706112809003,0.14663402075349044
PHOSPHORUS_TOTAL_ORTHOPHOSPHATE_70507_mg_L,-0.1878102533197682,-0.11878478704260251,-0.06011617283075685,0.20494386099900141,0.45710489630613643,0.2490226438927708,-0.07143160796286464,0.18137221611961313,1.0,-0.2607471097876514,-0.3601501903271383,-0.37942475811679377,0.766166537713154,-0.6361707670867469,-0.19438642887428126,-0.01682315572761181,-0.11883202983131087,-0.011670688838759578
HARDNESS_TOTAL_00900_mg_L,-0.07396544704322061,0.10790245872608141,-0.2839179251381161,-0.20563958278518588,0.10808088655788844,-0.2663658308132216,-0.043452026337163115,0.03394660173336107,-0.2607471097876514,1.0,-0.27391021470396876,-0.029967452146942557,-0.8660254037844386,-0.19523906759330376,-0.19207082371054657,0.16133072734528023,0.05895565010038844,-0.2663658308132216
CHLORIDE_mg_L,0.16530933258216207,-0.16232893160767267,0.10205494740163017,0.16837401943043526,-0.4135509150097576,0.041699941177410195,0.2126961737906999,-0.539197354578479,-0.3601501903271383,-0.27391021470396876,1.0,0.7478441493842513,,-0.022615566426626994,0.1651986386278576,-0.3640219233063896,-0.049593016423313936,0.041699941177410195
